ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
475,349,23/03/2024,Champagne Society - Crete Chamberlin,"3,5-4/5",dorato e bolla fragrante,"frutta bianca più marcata e agrume, leggero burro e pasticceria","resco e sapido, molto buono, leggera mandorla, persistente e di struttura",buono,,,
476,350,23/03/2024,Champagne Society - Crete Chamberlin,4/5,giallo dorato e bolla fragrante,"burro, frutto bianco, agrume leggero, crema, ricco di profumi","fresco e sapido, ricco e quasi grassottello, leggera mandorla, di struttura e persistenza","bella evoluzione, gastronomico",,,
477,351,23/03/2024,Champagne Society - Crete Chamberlin,"3,5/5","giallo paglierino con riflessi dorati rossastro, bolla delicata","frutta bianca e gialla, agrume e fiori bianchi, pasticceria","fresco e salato,",buono,,,
478,352,23/03/2024,Champagne Society - Crete Chamberlin,"3,5-4/5","giallo dorato con riflessi rossi, bolla fine","frutta gialla e agrume, burro leggero e pasticceria","fresco e sapido, più equilibrato del brut, buona struttura e persistenza"," interessante, gastronomico",,,
479,353,20/10/2024,Ooh Pausillo - Champagne Society,"3,5-4/5",giallo con riflessi rossi,"tanta frutta rossa e gesso, fiori bianchi, leggera pasticceria","fresco e sapido, bella acidità, buona struttura e persistenza","interessante, da riprovare",,,
480,354,03/06/2022,Champagne Society,?/5,,,,,,,
481,355,22/03/2024,Champagne Society - The Glue Pot - Raims,"1,5/5",paglierino,,,non mi è piaciuto,,,
482,356,15/10/2023,Champagne Society - Rubiera ,4/5,paglierino,"agrume, caramello, frutta rossa, floreale, poi crosta di pane e pasticceria",bolla fine ma intrigante come anche il vino nel suo complesso,"sgangherato ma intrigante, bevibilità buona ma non",,,
483,356,24/10/2023,Confine - Champagne Society,4/5,dorato,"frutta bianca e gialla, quasi esotica, ananas, pasticceria, smalto","sapido e fresco, lungo, bolla spingente, grande bevibilità, poi una mandorla non troppo amara",sgangherato e funambolico,,,
484,357,20/10/2024,MCE - Champagne Society,"2,5/5",giallo paglierino,"frutta gialla suvramatura, quasi candita (leggero zenzero?), leggera cremosità","leggermente sapido, mi manca struttura","adatto da aperitivo, ma non lo comprerei",,,
485,358,18/12/2024,Nicola Gatta,,,,,,,,
486,359,23/05/2022,Top Missori,?/5,,,,,,,
487,360,12/10/2022,bu:r Champagne Society,"2,5/5",,,,,,,
488,361,12/03/2023,Arnaldo - Rubiera,"3,5/5",,,,"Si sente la cote de blancs, grande bevibilita, con bella evoluzione nel bicchiere",,,
489,362,02/10/2024,Tommy Hilfiger bar,"4-4,5/5",giallo paglierino,"complesso e intrigante, frutta bianca matura e ben delineata, gesso, pasticceria e burro, note ossidative","fresco e sapido, minerale, ottima struttura e persistenza, complesso nel gusto, bolla raffinata","grande bevuta, note ossidative di grande qualità",,,
490,363,22/03/2025,Il Boschetto (Modena) - Champagne Society,4/5,paglierino,"nota ossidativa intrigante, agrume, gesso, pasticceria","fresco e sapido, leggera nota dolce, ottima struttura e persistenza,","coinvolgente, gastronomico",,,
491,364,07/10/2023,Casa,"3,5-4/5","giallo dorato luminoso, bolla elegantemente fine","bella complessità ed eleganza tra frutta bianca, agrume, pietra focaia e pasticceria che si sviluppano progressivamente.","fresco e sapido, elegante al palato, di bella complessità ma non troppo lungo (2018?)","grande bevibilità, complesso ma invitante, elegante e piacevole",,,
492,364,23/11/2023,Polo,"3,5-4/5",giallo paglierino,"frutta bianca e agrume, pasticceria","fresco e sapido, buona persistenza e bolla fragrante","ottima cuvee, complessa ma di ottima bevibilità",,,
493,364,17/02/2024,Casa,"3,5-4/5",giallo paglierino con riflessi dorati,"bellissimo bouquet aromatico di frutta bianca matura e tropicaleggiante con agrume e fiori, gesso, pasticceria, crema, burro e miele millefiori","fresco e sapido, bolla vivace ma equilibrata di bel coinvolgimento, ottima struttura e persistenza, bella bevibilità","un bellissimo champagne, solare, da bere come aperitivo ma anche gastronomico, ha ben accompagnato carbonara",,,
494,365,15/03/2022, Champagne Society (Rubiera),4/5,,,,,,,
495,366,04/08/2024,Casa,4/5,giallo dorato,"delicato e complesso, frutta bianca anche esotica e agrume, gesso, leggera spezia, pasticceria","fresco e sapido, frutta secca con mandorla e nocciola, aromi fruttati e agrumati, ottima struttura e persistenza, grande beva",bella bottiglia in inizio fase evolutiva,,,
496,366,16/02/2025,Casa,4/5,dorato,"complesso e coinvolgente, agrume, frutta bianca da fresca a matura con leggera nota tropicale, gesso, pasticceria, note evolutive ma ancor in forma","fresco e sapido, sentori fruttati e agrumati, ottima struttura e corpo","ottimo vino, sentori evolutivi ma fresco, non pesante, di ottima bevibilità",,,
497,367,10/06/2024,Casa,"4-4,5/5",dorato,parte su note evolutive coinvolgenti e delicate per poi offrire un bouquet fruttato e floreale caratterizzato da note mature,"anche in bocca si presenta vino evoluto ma con freschezza, sapidità e bolla ben presenti a sostenere un vino che è un piacere bere. Ottima la struttura, la persistenza e la bevibilità",bella esperienza di degustazione e di bevuta,,,
498,368,02/06/2022,Champagne Society,"3,5/5",,,,,,,
499,369,21/07/2023,Bar Brutus - Barcellona,4/5,paglierino,"frutta bianca (mela matura), frutta gialla (albicocca e pesca), agrume (cedro), poi crema pasticciera e pasticceria","fresco e sapido, con agrume e frutta bianca in retronasale. Bolla fragrante.",Avize! Dritto e persistente. Di grande bevibilità.,,,
500,369,06/09/2023,Le Soufflot de Mairsault - Champagne Society,4/5,giallo paglierino,"bell’agrume, frutta bianca e poi pasticceria e burro","fresco, sapido e di ottima struttura e persistenza","grandissima bevibilità, bottiglia da avere sempre sulla tavola",,,
501,370,18/05/2023,Tour Champagne Society  - Le Raccomande,"3-3,5/5","giallo paglierino, bolla fine","agrume, frutta bianca, miele, crosta di pane","fresca acidità, sapido, limone",,,,
502,371,05/02/2025,Remedy,"4-4,5/5",paglierino,"bouquet complesso di aromi di frutta a polpa bianca, agrumi, fiori bianchi, e leggere note di lievito e burro, derivanti dal contatto con i lieviti","elegante, con una vivace acidità che bilancia la cremosità e una lunga persistenza che esprime tutta la freschezza e la mineralità del terroir.",coinvolgente,,,
503,372,19/10/2024,Exe Fiorano - Champagne Society,"4,5-5/5",paglierino con riflessi rossastri,"grande complessità, agrumato, frutta rossa, pasticceria","briosa, fragrante ma delicata, ottima struttura e persistenza, grandiosa bevibilità,","ottimo, per ogni occasione,",,,
504,373,13/04/2025,Sacre Burger - Reims,4/5,,,,"Ottima bottiglia! Complesso, coinvolgente, largo, da tutte le situazioni.",,,
505,373,14/04/2025,Le Wine Bar - Reims,4/5,,"Complesso, coinvolgente al naso","Fresco, sapido, largo, bella acidità che fa salivare, ottimo con una bella tavola ma piacevolissimo anche da solo",Molto buono!,,,
506,374,01/11/2024,Al Boschetto - Champagne Society,"3,5-4/5",giallo paglierino,"bello di agrumi e frutta bianca, pasticceria","fresco e sapido,",ottima bottiglia,,,
507,375,25/03/2023,Casa,--/5,"Olfatto: afformaggiato, probabilmente ha preso luce",,,,,,
508,376,13/04/2025,Sacre Burger - Reims,3/5,,,,"Non mi ha coinvolto ma avendolo bevuto dopo guillelme selosse è difficile da valutare, da riprovare",,,
509,377,16/10/2022,Champagne Society - Osteria del Viandante,4/5,,,,,,,
510,377,28/06/2023,Champagne Society - Bu:r,4/5,giallo paglierino con riflessi dorati,"agrume, frutta bianca e rossa, burro, crosta di pane","salino, bella acidità","molto interessante, indubbiamente da ribere",,,
511,378,24/03/2024,La Garde Champetre - Champagne Society,"4-4,5/5","giallo dorato, bolla vivace ma elegante","bella complessità di frutta e fiori, leggero ma elegante aromi di pasticceria, creme e burr","fresco e sapido, bela struttura e resistenza, bella bevibilità","molto buona, da averne",,,
512,379,09/09/2023,La Garde Champetre - Champagne Society,"3,5-4/5","giallo dorato, bolla fine","frutta rossa matura, agrume maturo, crosta di pane e delicata pasticceria.","fresco e sapido, salato da Aube, bella lunghezza e ottima struttura","ottimo vino,",,,
513,380,18/12/2022,Chamapagne Society Rubiera,"2,5/5",,,,,,,
514,381,12/10/2022,bu:r Champagne Society,"2,5/5",,,,,,,
515,382,19/06/2024,Tommy Hilfiger Cafè - Champagne Society,"2,5/5",giallo paglierino carico,agrume e frutta bianca,"fresco e sapido, largo, di struttura persistente, nota leggermente amaricante di mandorla",,,,
516,383,04/05/2022,Top Missori,"2,5-3/5",,,,,,,
517,384,09/09/2023,La Garde Champetre - Champage Society,4/5,"giallo paglierino, bolla fine ed elegante","frutta bianca tropicale, limone bello maturo, burro e pasticceria","fresco e sapido, bello salato da Aube, con bella frutta e agrume anche al palato, di buona struttura e persistenza","Chardonnay tipico dell’aube, caldo e tropicale ma fresco e lungo, grande qualità e bevibilità",,,
518,385,24/03/2024,La Garde Champetre - Champage Society,"3,5/5","giallo dorato, bolla fragrante","frutta bianca esplosiva, agrume, leggera pasticceria","fresco e sapido ma non quanto mi aspettavo, buono mi manca spalla, struttura, non lungo",al naso fa promesse che non mantiene al palato che percepisco diluito,,,
519,386,08/09/2023,Sacre Burger Reims - Champagne Society,"3,5/5",giallo con riflessi rosati,"frutta gialla e agrume, bella pasticceria","fresco e sapido con una vinosita che lo rende particolare e piacevole, buona la struttura e ottima lunghezza. Bolla fragrante",vinoso,,,
520,387,27/04/2024,Lo Scoglietto,"4-4,5/5",giallo dorato,"complesso, fruttato, floreale, burro e lattico, creme","fresco e sapido, di struttura, persistente, di ottima beva",ottima bottiglia,,,
521,388,07/09/2023,Les Avises - Champagne Society,"3,5-4/5","giallo paglierino, bolla elegante","frutta bianca e gialla, pesca, agrume. Minerale. Crema chantilly","fresco, sapido, agrume, persistente, di ottima struttura",vino di vera qualità,,,
522,389,21/03/2024,Champagne Society - Les Avizese,3/5,giallo paglierino,"frutta bianca, fumè, opulento al naso","fresco e sapido, opulento anche in bocca",non più di un bicchiere,,,
523,390,05/06/2022,Champagne Society,2/5,,,,,,,
524,391,18/12/2022,Chamapagne Society Rubiera,2/5,,,,,,,
525,392,05/06/2022,Champagne Society,2/5,,,,,,,
526,393,05/06/2022,Champagne Society,2/5,,,,,,,
527,394,05/06/2022,Champagne Society,2/5,,,,,,,
528,395,12/10/2022,bu:r Champagne Society,"2-2,5/5",,,,,,,
529,396,25/05/2022,Champagne Society,3/5,,,,,,,
530,397,12/03/2023,Arnaldo - Rubiera,"2,5-3/5",,,,"il suo ingresso, pensato x i giovani: buono ma poteva evitare, non c’entra nulla con i suoi vini",,,
531,398,11/12/2022,casa,"3,5-4/5",,,,,,,
532,398,11/12/2022,casa,"3,5-4/5",giallo dorato,"elegante ed equilibrata complessità olfattiva di frutta, agrume, florealità e pasticceria","fresco e sapido in ottimo equilibrio, bolla raffinata e bella complessità gustativa",grande bevuta e bevibilità,,,
533,399,25/05/2022,Champagne Society,3/5,,,,,,,
534,400,19/05/2023,Tour Champagne Society - Glue Pot,"3,5/5",,delicata ed elegante frutta con ossidazione gestita alla grande,fresco e sapido con bolla di eleganza,Ormai a fine serata vale tutto e il contrario di tutto e alla cieca neppure avvicinato,,,
535,401,29/12/2024,Rifugio Franzin - Carezza,4/5,dorato ambrato,"complesso ma di grande piacevolezza, agrumi, frutta fa bianca a rossa e tropicale, frutta secca, gesso, pasticceria","fresco e sapidoc, fragranze gustative di agrumi e frutta secca, ottima struttura e persistenza, grande bevibilità","dal colore ti aspetteresti un vino molto evoluto, ma la sboccatura è 01/2023, (forse troppa luce? O forse è giusto così?) ma al naso e al palato è ottimo. Accompagna la tavola in modo sublime ma ottimo anche da solo",,,
536,402,25/05/2022,Champagne Society,"3,5/5",,,,,,,
537,403,08/09/2023,Le Wine Bar Reims - Champagne Society,"3,5-4/5",,"frutta bianca, agrume, pasticceria","fresco e sapido,",veramente buono,,,
538,404,07/02/2023,Top Missori,"3,5-4/5",,,,,,,
539,405,25/05/2022,Champagne Society,"3,5/5",,,,,,,
540,406,18/12/2022,Chamapagne Society Rubiera,"3,5/5",,,,,,,
541,407,25/05/2022,Champagne Society,"4,5/5",,,,,,,
542,407,04/05/2025,Casa,"4,5/5","Nel calice bellissimo, colore dorato con bolla estremamente fine elegante, perfetta, quella che vorresti sempre vedere quindi prima sensazione visiva","veramente coinvolgente al naso, sprigiona una meraviglioso, purché di di profumi che vanno da ortofrutta, caramello, miele, si percepiscono tutte quelle tutti quei profumi evolutivi veramente veramente coinvolgenti, non molto equilibranti, cioè della crema della pasticceria C’è anche sono anche dei sentori balsamici sempre tutto in grande equilibrio in grande sviluppo un po’ quasi una sorta di sinfonia olfattiva, quindi veramente una bellissima percezione",in bocca fresco saldo con un sviluppo in bocca molto molto bello coinvolgente supporto acido che non esso stesso coinvolgente c’è quindi fa voglia di berlo Continuamente a una ottima struttura gran persistenza quindi veramente un’ottima un’ottima bottiglia è un momento mio giudizio veramente ottimo anche in dai ai sentori elettro fattivo anche qua veramente coinvolgente,"interessante acuta completa, bella piacevole, profonda che può accompagnare momenti con qualunque tipo di momento da una bella tavola, un aperitivo Una bottiglia bevuta anche anche con se stessi quindi diciamo da meditazione può può accompagnare un un confronto, una discussione su qualunque tipo di tema con con amici o con persone con le quali comunque si voglia affrontare temi coinvolgenti interessanti ma non necessariamente profondi è beh è un’ottima è veramente un’ottima ottima bottiglia per qualunque situazione",,,
543,408,25/05/2022,Champagne Society,"4,5/5",,,,,,,
544,408,23/02/2025,Casa,"4,5/5",giallo dorato,"meraviglioso, frutta d fresca a matura sino a tropicale, da bianca sino a rossa, agrume, floreale, pasticceria, ma anche leggera spezia, complesso, equilibrato e vibrante","freschissimo, leggera sapidità, notte fruttate e agrumate, grande strutturate persistenza",grande champagne,,,
545,409,15/10/2023,Rubiera - Champagne Society,"4,5-5/5",dorato,"frutta bianca e rossa, agrume, pietra focaia/fumè, floreale, pasticceria","fresco e sapido, agrume lungo, bolla fragrante ed elegante, bellissima complessità","grande bottiglia, grande bevibilità",,,
546,410,19/10/2024,Exe Marenello - Champagne Society,4/5,dorato,"frutta rossa e agrume in grande equilibrio, gesso, pasticceria","fresco e sapido, agrume di cedro, ottima struttura e lunga persistenza, buona bevibilità","ottima bottiglia, classica ma con sua identità, da tavola importante",,,
547,411,13/09/2022,La sosta dei Cavalieri,4/5,,,,,,,
548,412,25/05/2022,Champagne Society,"3,5/5",,,,,,,
549,413,30/07/2022,Il Giglio,4/5,,,,,,,
550,414,25/05/2022,Champagne Society,4/5,,,,,,,
551,415,23/03/2024,Champagne Society - Le Wine Bar - Reims,3/5,,oliva in salamoia (marcatore Petit meslier),"fresco e sapido,",interessante,,,
552,416,03/06/2022,Champagne Society,3/5,,,,,,,
553,417,15/11/2023,Ciz Cantina e Cucina,"4-4,5/5",,,,,,,
554,418,07/09/2023,Coq et Vins - Champagne Society,4/5,giallo dorato con riflessi rossi,"frutta rossa e agrume, burro e pasticceria","fresco, sapido, minerale, con leggero gusto amaricante","molto delicato, elegante,",,,
555,418,22/03/2024,Champagne Society - The Glue Pot - Raims,4/5,giallo dorato con riflessi rossi,"frutta rossa, agrume, minerale, pasticceria","fresco e sapido, mandorla,",ottima bottiglia,,,
556,419,18/10/2023,Ciz Cantina e Cucina,"4,5/5",giallo paglierino,"agrume, frutta bianca, gesso, pasticceria","fresco e sapido, agrume, bolla elegante e fragrante","grande Chardonnay, ottimamente realizzato, di grande equilibrio e bevibilità",,,
557,420,24/03/2024,Champagne Society - La Grande Georgette - Reims,"4-4,5/5",,,,"espressione qualitativa dello champagne, si conferma una produttrice di grande talento",,,
558,421,26/07/2023,Ristorante Cavallino Maranello - Champagne Society,"4-4,5/5",Giallo paglierino carico,"Frutto rosso e agrume, pasticceria e burro","fresco e sapido, complesso nella retrò olfattiva","meravigliosa complessità equilibrata tra olfatto e palato, di grande bevibilità",,,
559,421,08/09/2023,La Grande Georgette Reims - Champagne Society,"4-4,5/5","giallo paglierino, bolla fine ed elegante","frutta bianca e agrume, poi burro e cereali, pasticceria","fresco e sapido, dritto ma tondo dato dal legno, persistente e grande bevibilità","tipico di Mesnil sur Oger, grande vino di una grande produttrice",,,
